GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
kpback,com.tienda.kpback.Entity,Historial,0,3,0,0,0,1,0,1,0,1
kpback,com.tienda.kpback.Entity,Producto,0,3,0,0,0,1,0,1,0,1
kpback,com.tienda.kpback.Entity,UsuarioEnt,3,0,0,0,1,0,1,0,1,0
kpback,com.tienda.kpback.Entity,Notificaciones,6,0,0,0,2,0,1,0,1,0
kpback,com.tienda.kpback.Entity,Producto.Categoria,75,0,0,0,3,0,1,0,1,0
kpback,com.tienda.kpback.Entity,Notificaciones.destinoNotificacion,15,0,0,0,3,0,1,0,1,0
kpback,com.tienda.kpback.Entity,PedidoDetalle,3,0,0,0,1,0,1,0,1,0
kpback,com.tienda.kpback.Entity,Cart,0,8,0,0,0,2,0,1,0,1
kpback,com.tienda.kpback.Entity,CartItem,3,0,0,0,1,0,1,0,1,0
kpback,com.tienda.kpback.Entity,UsuarioEnt.Rol,15,0,0,0,3,0,1,0,1,0
kpback,com.tienda.kpback.Service,HistorialService,74,0,2,0,18,0,6,0,5,0
kpback,com.tienda.kpback.Service,CartService,264,0,6,0,60,0,19,0,16,0
kpback,com.tienda.kpback.Service,JwtService,214,0,6,0,51,0,15,0,12,0
kpback,com.tienda.kpback.Service,UsuarioService,187,0,10,0,46,0,15,0,10,0
kpback,com.tienda.kpback.Service,NotificacionesService,22,0,0,0,7,0,2,0,2,0
kpback,com.tienda.kpback.Service,ProductoService,67,0,2,0,16,0,7,0,6,0
kpback,com.tienda.kpback.Controller,CartController,0,83,0,0,0,16,0,6,0,6
kpback,com.tienda.kpback.Controller,AuthController.LoginRequest,17,0,0,0,5,0,5,0,5,0
kpback,com.tienda.kpback.Controller,AuthController.RegisterRequest,45,0,0,0,13,0,13,0,13,0
kpback,com.tienda.kpback.Controller,ProductoController,0,90,0,6,0,20,0,9,0,6
kpback,com.tienda.kpback.Controller,AuthController,118,0,6,0,32,0,6,0,3,0
kpback,com.tienda.kpback.Controller,HistorialController,0,24,0,0,0,7,0,3,0,3
kpback,com.tienda.kpback.Controller,UsuarioController,0,135,0,4,0,27,0,12,0,10
kpback,com.tienda.kpback,KpbackApplication,8,0,0,0,3,0,2,0,2,0
kpback,com.tienda.kpback.Config,JwtAuthFilter,57,0,8,0,16,0,6,0,2,0
kpback,com.tienda.kpback.Config,Pass,46,0,2,0,7,0,3,0,2,0
kpback,com.tienda.kpback.Config,SecurityConfig,62,0,0,0,12,0,5,0,5,0
kpback,com.tienda.kpback.Config,WebConfig,59,0,0,0,7,0,2,0,2,0
